"object_id","term_taxonomy_id","term_order"
"1656","2","0"
"1656","14","0"
"1656","64","0"
"1656","127","0"
"1656","183","0"
"1656","437","0"
"1675","2","0"
"1675","11","0"
"1675","12","0"
"1675","13","0"
"1675","39","0"
"1675","127","0"
"1675","160","0"
"1675","212","0"
"1675","262","0"
"1675","374","0"
"1690","11","0"
"1690","13","0"
"1690","137","0"
"1690","224","0"
"1690","424","0"
"1690","425","0"
"1690","788","0"
"1690","923","1"
"1698","2","0"
"1698","11","0"
"1698","12","0"
"1698","13","0"
"1698","106","0"
"1698","133","0"
"1698","160","0"
"1707","10","0"
"1707","13","0"
"1707","262","0"
"1707","426","0"
"1707","427","0"
"1707","428","0"
"1707","429","0"
"1707","923","1"
"1729","2","0"
"1729","10","0"
"1729","11","0"
"1729","13","0"
"1729","23","0"
"1729","106","0"
"1729","212","0"
"1729","262","0"
"1729","358","0"
"1729","430","0"
"1729","431","0"
"1729","432","0"
"1744","2","0"
"1744","7","0"
"1744","13","0"
"1744","44","0"
"1744","60","0"
"1744","247","0"
"1744","434","0"
"1744","461","0"
"1754","2","0"
"1754","13","0"
"1754","262","0"
"1754","308","0"
"1765","2","0"
"1765","10","0"
"1765","11","0"
"1765","12","0"
"1765","13","0"
"1765","212","0"
"1765","260","0"
"1765","374","0"
"1765","433","0"
"1774","7","0"
"1774","25","0"
"1774","247","0"
"1774","248","0"
"1774","434","0"
"1788","11","0"
"1788","12","0"
"1788","13","0"
"1788","340","0"
"1788","342","0"
"1788","371","0"
"1788","417","0"
"1797","7","0"
"1797","10","0"
"1797","11","0"
"1797","12","0"
"1797","13","0"
"1797","432","0"
"1797","435","0"
"1797","436","0"
"1799","2","0"
"1799","11","0"
"1799","12","0"
"1799","13","0"
"1799","41","0"
"1799","42","0"
"1799","106","0"
"1799","127","0"
"1799","183","0"
"1799","187","0"
"1799","278","0"
"1799","437","0"
"1799","438","0"
"1799","439","0"
"1813","2","0"
"1813","7","0"
"1813","11","0"
"1813","12","0"
"1813","13","0"
"1813","15","0"
"1813","64","0"
"1813","127","0"
"1813","183","0"
"1813","227","0"
"1813","440","0"
"1813","441","0"
"1813","442","0"
"1813","443","0"
"1813","444","0"
"1819","7","0"
"1819","13","0"
"1819","15","0"
"1819","387","0"
"1819","389","0"
"1819","445","0"
"1819","446","0"
"1819","447","0"
"1819","448","0"
"1826","2","0"
"1826","11","0"
"1826","12","0"
"1826","72","0"
"1826","166","0"
"1826","204","0"
"1826","342","0"
"1835","2","0"
"1835","7","0"
"1835","10","0"
"1835","11","0"
"1835","13","0"
"1835","52","0"
"1835","282","0"
"1835","358","0"
"1835","361","0"
"1835","432","0"
"1835","449","0"
"1835","450","0"
"1835","451","0"
"1849","13","0"
